from_node,from_lgd,from_lad,from_district,to_node,to_lgd,to_lad,to_district,car_distance,car_duration
1,117.069578,36.648728000000006,历下区,65,116.953746,36.675956,槐荫区,19327,1800
1,117.069578,36.648728000000006,历下区,66,117.013031,36.717701,天桥区,14952,1260
1,117.069578,36.648728000000006,历下区,67,116.923642,36.626009,市中区,23417,1500
1,117.069578,36.648728000000006,历下区,68,116.952237,36.661539000000005,槐荫区,26847,1860
1,117.069578,36.648728000000006,历下区,69,116.913255,36.6281,槐荫区,24391,1620
1,117.069578,36.648728000000006,历下区,70,116.899806,36.63001,槐荫区,26860,1920
1,117.069578,36.648728000000006,历下区,71,116.952189,36.652421000000004,槐荫区,27530,2040
1,117.069578,36.648728000000006,历下区,72,116.968064,36.644651,槐荫区,27045,1860
1,117.069578,36.648728000000006,历下区,73,116.964496,36.656833,槐荫区,27467,2040
1,117.069578,36.648728000000006,历下区,74,116.996615,36.632801,市中区,11181,1620
1,117.069578,36.648728000000006,历下区,75,116.901663,36.659081,槐荫区,25133,2040
1,117.069578,36.648728000000006,历下区,76,117.01175,36.610723,市中区,12667,1080
1,117.069578,36.648728000000006,历下区,77,116.900053,36.658547999999996,槐荫区,25061,2040
1,117.069578,36.648728000000006,历下区,78,117.048218,36.696825,天桥区,12307,1260
1,117.069578,36.648728000000006,历下区,79,116.996165,36.673545000000004,天桥区,15836,1680
1,117.069578,36.648728000000006,历下区,80,117.01192,36.708385,天桥区,15349,1380
1,117.069578,36.648728000000006,历下区,81,116.90175,36.642039000000004,槐荫区,28855,2040
1,117.069578,36.648728000000006,历下区,83,116.991673,36.630402000000004,市中区,10789,1440
1,117.069578,36.648728000000006,历下区,84,116.997865,36.633656,市中区,18778,1560
1,117.069578,36.648728000000006,历下区,86,116.972934,36.709604999999996,天桥区,19722,1920
1,117.069578,36.648728000000006,历下区,89,116.997504,36.708535999999995,天桥区,18299,1800
1,117.069578,36.648728000000006,历下区,90,117.17031,36.680851000000004,历城区,12976,1260
1,117.069578,36.648728000000006,历下区,91,117.17031,36.680851000000004,历城区,12976,1260
1,117.069578,36.648728000000006,历下区,92,116.965377,36.660064,槐荫区,28262,2220
1,117.069578,36.648728000000006,历下区,93,116.957197,36.634128000000004,市中区,21763,2160
1,117.069578,36.648728000000006,历下区,94,116.953086,36.588365,市中区,22382,1860
1,117.069578,36.648728000000006,历下区,95,116.965377,36.660064,槐荫区,28262,2220
1,117.069578,36.648728000000006,历下区,96,117.122067,36.628805,历下区,9181,900
1,117.069578,36.648728000000006,历下区,97,116.989182,36.649531,市中区,11761,1860
1,117.069578,36.648728000000006,历下区,98,116.992771,36.686972,天桥区,15019,1620
1,117.069578,36.648728000000006,历下区,99,116.957994,36.626792,市中区,21381,2100
1,117.069578,36.648728000000006,历下区,100,117.031464,36.714684000000005,天桥区,11963,1380
1,117.069578,36.648728000000006,历下区,101,116.983,36.617129,市中区,16661,1260
1,117.069578,36.648728000000006,历下区,102,116.983,36.617129,市中区,16661,1260
1,117.069578,36.648728000000006,历下区,103,116.988296,36.663299,槐荫区,19837,1800
1,117.069578,36.648728000000006,历下区,104,116.987591,36.666086,槐荫区,20409,1920
1,117.069578,36.648728000000006,历下区,105,116.987591,36.666086,槐荫区,20409,1920
1,117.069578,36.648728000000006,历下区,106,116.990208,36.654436,槐荫区,11417,1680
1,117.069578,36.648728000000006,历下区,107,116.988422,36.662896,槐荫区,19794,1800
2,117.062864,36.663218,历下区,0,116.994747,36.666401,市中区,7518,1860
2,117.062864,36.663218,历下区,1,117.069578,36.648728000000006,历下区,2861,600
2,117.062864,36.663218,历下区,4,117.048409,36.697778,天桥区,5943,1200
2,117.062864,36.663218,历下区,5,117.051526,36.695595000000004,历城区,5174,1020
2,117.062864,36.663218,历下区,6,117.153804,36.721932,历城区,14578,1200
2,117.062864,36.663218,历下区,7,117.121461,36.703538,历下区,9028,1500
2,117.062864,36.663218,历下区,8,117.070868,36.637459,历下区,4669,780
